,Airline,Source,Destination,Total_Stops,Additional_Info,Price,Day,Month,Year,Arrival_hour,Arrival_minutes,Dept_hour,Dept_minutes,Duration_minutes
1109,SpiceJet,Kolkata,Banglore,0,No info,3873,6,4,2019,0,40,22,20,140
6315,IndiGo,Kolkata,Banglore,0,No info,4804,24,5,2019,18,5,15,30,155
6369,Air India,Delhi,Cochin,3,No info,10493,24,6,2019,7,40,5,15,1585
1038,SpiceJet,Kolkata,Banglore,0,No check-in baggage included,3841,9,6,2019,9,30,6,55,155
20,GoAir,Delhi,Cochin,1,No info,19495,6,3,2019,19,20,14,10,310
6083,Vistara,Banglore,Delhi,0,No info,5403,3,4,2019,14,20,11,30,170
5927,Multiple carriers,Delhi,Cochin,1,No info,8099,24,6,2019,19,15,9,15,600
8644,IndiGo,Banglore,Delhi,0,No info,4423,12,4,2019,6,50,4,0,170
10032,Air Asia,Kolkata,Banglore,0,No info,5964,3,3,2019,22,5,19,35,150
934,Jet Airways,Delhi,Cochin,2,In-flight meal not included,11150,27,6,2019,19,0,13,25,1775
6508,Air India,Delhi,Cochin,1,No info,8907,27,5,2019,23,0,13,30,570
7770,IndiGo,Delhi,Cochin,1,No info,6734,9,5,2019,22,30,8,35,835
394,Jet Airways,Delhi,Cochin,1,In-flight meal not included,12898,21,5,2019,19,0,14,0,300
8216,GoAir,Delhi,Cochin,1,No info,6276,9,6,2019,13,35,7,30,365
1737,Air India,Banglore,New Delhi,1,No info,5626,9,3,2019,8,50,6,50,1560
561,IndiGo,Kolkata,Banglore,0,No info,4488,12,4,2019,22,55,20,20,155
1162,IndiGo,Chennai,Kolkata,0,No info,6297,15,3,2019,14,0,11,35,145
4682,Vistara,Kolkata,Banglore,1,No info,9345,18,5,2019,20,20,7,10,790
10171,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,3,6,2019,19,0,16,0,1620
3281,Air India,Banglore,Delhi,0,No info,7171,21,6,2019,19,45,17,0,165
1527,Jet Airways,Banglore,Delhi,0,In-flight meal not included,7229,9,6,2019,22,50,19,50,180
9420,Jet Airways,Banglore,Delhi,0,In-flight meal not included,5198,12,5,2019,14,5,11,10,175
5714,Multiple carriers,Delhi,Cochin,1,No info,7408,27,6,2019,21,0,10,0,660
58,Multiple carriers,Delhi,Cochin,1,No info,8073,6,5,2019,1,30,19,0,390
2249,IndiGo,Delhi,Cochin,1,No info,10394,3,3,2019,7,25,2,5,320
4995,Air India,Kolkata,Banglore,3,No info,8607,1,4,2019,23,15,16,45,1830
6412,Air Asia,Banglore,Delhi,0,No info,4282,9,4,2019,7,45,4,55,170
6649,Air India,Kolkata,Banglore,2,No info,10151,6,5,2019,7,55,12,0,1195
4533,IndiGo,Delhi,Cochin,1,No info,6147,15,6,2019,20,0,15,10,290
3396,Multiple carriers,Delhi,Cochin,1,No info,7408,9,6,2019,1,30,17,0,510
2592,Air India,Delhi,Cochin,2,No info,10861,21,5,2019,19,15,20,0,1395
5269,Air India,Delhi,Cochin,1,No info,7690,9,6,2019,9,25,20,40,765
8520,Air India,Mumbai,Hyderabad,0,No info,3625,6,5,2019,7,40,6,20,80
414,IndiGo,Banglore,Delhi,0,No info,3943,18,5,2019,13,0,10,10,170
9940,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,27,6,2019,12,35,21,50,885
6653,Multiple carriers,Delhi,Cochin,1,No info,8371,27,3,2019,19,15,8,55,620
7601,IndiGo,Delhi,Cochin,1,No info,5636,21,5,2019,12,30,7,15,315
3127,Jet Airways,Delhi,Cochin,2,No info,12347,21,3,2019,4,25,18,25,2040
4505,SpiceJet,Kolkata,Banglore,1,No info,9736,6,5,2019,18,30,11,15,435
2236,Multiple carriers,Delhi,Cochin,2,No info,7178,21,3,2019,21,20,9,45,695
4771,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,15,6,2019,12,35,20,55,940
5799,Air India,Kolkata,Banglore,1,No info,10413,24,5,2019,20,25,20,30,1435
6987,Multiple carriers,Delhi,Cochin,1,No info,9526,1,6,2019,19,15,10,20,535
7210,Air India,Delhi,Cochin,2,No info,10283,3,3,2019,19,15,5,0,2295
2133,SpiceJet,Mumbai,Hyderabad,0,No check-in baggage included,2647,18,6,2019,7,15,5,45,90
1897,GoAir,Banglore,New Delhi,1,No info,12314,1,3,2019,20,15,15,45,270
8569,Vistara,Banglore,Delhi,0,No info,4878,18,5,2019,19,35,17,0,155
8723,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,6,6,2019,20,45,14,5,400
10280,IndiGo,Chennai,Kolkata,0,No info,6297,15,3,2019,0,30,22,5,145
10199,Air India,Kolkata,Banglore,2,No info,6117,12,6,2019,11,5,9,10,1555
6071,Multiple carriers,Delhi,Cochin,2,In-flight meal not included,5935,21,3,2019,21,20,7,10,850
1817,Multiple carriers,Delhi,Cochin,1,No info,8625,27,5,2019,19,15,10,35,520
1937,IndiGo,Mumbai,Hyderabad,0,No info,2754,15,3,2019,21,35,20,5,90
3131,IndiGo,Kolkata,Banglore,0,No info,4174,12,4,2019,18,5,15,30,155
2072,Air India,Mumbai,Hyderabad,0,No info,2575,27,3,2019,20,45,19,30,75
1726,Vistara,Mumbai,Hyderabad,1,No info,12395,6,3,2019,9,25,15,40,1065
1047,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,7064,6,5,2019,17,35,10,20,435
3931,Air India,Kolkata,Banglore,1,No info,6327,18,5,2019,11,5,19,0,965
4026,IndiGo,Banglore,New Delhi,0,No info,6860,21,3,2019,10,5,7,10,175
7602,IndiGo,Kolkata,Banglore,1,No info,4268,9,4,2019,20,5,15,15,290
766,Jet Airways,Delhi,Cochin,2,No info,15129,21,5,2019,19,0,19,10,1430
1144,IndiGo,Delhi,Cochin,1,No info,7503,24,5,2019,1,30,18,35,415
3208,Jet Airways,Delhi,Cochin,1,In-flight meal not included,12898,27,5,2019,19,0,18,15,1485
10265,Air India,Kolkata,Banglore,2,No info,11148,1,5,2019,11,10,12,0,1390
4657,Air Asia,Delhi,Cochin,1,No info,7452,18,5,2019,7,10,20,45,625
5859,Air India,Kolkata,Banglore,0,No info,4435,18,3,2019,23,20,20,45,155
7823,Air India,Delhi,Cochin,1,No info,5022,6,4,2019,23,0,6,10,1010
3118,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,8586,12,5,2019,19,50,8,25,685
9050,Jet Airways,Banglore,Delhi,0,In-flight meal not included,7229,1,6,2019,22,0,18,55,185
9559,SpiceJet,Delhi,Cochin,1,No info,5899,15,4,2019,22,5,15,45,380
6437,Jet Airways,Kolkata,Banglore,1,No info,13584,6,5,2019,10,5,21,10,775
828,Vistara,Kolkata,Banglore,1,No info,8452,21,5,2019,22,40,20,20,1580
7162,Jet Airways,Delhi,Cochin,1,No info,15764,6,3,2019,4,25,13,0,925
1672,Jet Airways,Delhi,Cochin,1,No info,16289,12,6,2019,12,35,7,5,330
3524,SpiceJet,Banglore,Delhi,0,No check-in baggage included,4319,18,5,2019,12,20,9,30,170
6334,Air India,Mumbai,Hyderabad,0,No info,2050,21,3,2019,22,25,21,5,80
3369,Air India,Chennai,Kolkata,0,No info,4667,27,5,2019,13,55,11,40,135
9658,IndiGo,Kolkata,Banglore,1,No info,6218,15,5,2019,23,30,18,5,325
2848,Air India,Kolkata,Banglore,0,No info,4435,15,3,2019,23,20,20,45,155
3405,IndiGo,Banglore,Delhi,0,No info,4077,3,4,2019,15,50,13,0,170
2045,SpiceJet,Mumbai,Hyderabad,0,No check-in baggage included,2385,18,3,2019,14,30,13,10,80
5146,Multiple carriers,Delhi,Cochin,1,No info,10678,15,6,2019,19,0,4,55,845
3070,Jet Airways,Delhi,Cochin,1,No info,14714,15,6,2019,12,35,7,5,330
2859,Trujet,Mumbai,Hyderabad,1,No info,4140,6,3,2019,16,20,13,5,195
1295,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9663,12,5,2019,9,20,16,30,1010
4309,Multiple carriers,Delhi,Cochin,1,In-flight meal not included,6093,24,4,2019,16,10,7,10,540
591,Jet Airways,Banglore,Delhi,0,In-flight meal not included,7229,1,6,2019,10,10,7,10,180
221,Air India,Delhi,Cochin,1,No info,8372,12,6,2019,19,15,9,0,615
6577,SpiceJet,Chennai,Kolkata,0,No check-in baggage included,3543,24,6,2019,10,35,8,20,135
6200,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,12,6,2019,4,25,11,30,1015
8064,Air India,Banglore,New Delhi,2,No info,8114,24,3,2019,22,55,17,0,1795
858,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,8586,1,5,2019,10,5,20,0,845
8809,Multiple carriers,Delhi,Cochin,1,No info,8055,27,3,2019,21,0,8,55,725
4863,SpiceJet,Kolkata,Banglore,0,No check-in baggage included,3841,27,5,2019,9,30,6,55,155
9524,IndiGo,Mumbai,Hyderabad,0,No info,2227,27,5,2019,22,50,21,20,90
841,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,27,6,2019,19,0,16,0,1620
8412,Multiple carriers,Delhi,Cochin,1,No info,8073,15,5,2019,21,0,9,0,720
7354,Air India,Delhi,Cochin,2,No info,8839,1,5,2019,9,25,17,15,970
8008,Air Asia,Banglore,New Delhi,0,Red-eye flight,10873,1,3,2019,2,10,23,25,165
994,Air Asia,Kolkata,Banglore,0,No info,4409,12,4,2019,1,20,22,50,150
3032,Jet Airways,Banglore,Delhi,0,No info,8016,18,6,2019,11,20,8,20,180
1554,IndiGo,Kolkata,Banglore,1,No info,8443,1,5,2019,14,15,9,20,295
5372,Vistara,Banglore,Delhi,0,No info,5613,15,4,2019,19,35,17,0,155
6044,Multiple carriers,Delhi,Cochin,1,No info,6513,9,5,2019,16,10,7,10,540
4901,IndiGo,Chennai,Kolkata,0,No info,5277,6,3,2019,0,25,22,5,140
5262,Air India,Delhi,Cochin,2,No info,13591,27,6,2019,19,15,20,15,1380
8757,Multiple carriers,Delhi,Cochin,1,No info,11622,3,6,2019,19,0,9,15,585
9174,Multiple carriers,Delhi,Cochin,1,No info,14848,27,6,2019,19,15,13,0,375
7553,Multiple carriers,Delhi,Cochin,1,No info,9646,15,6,2019,22,30,9,45,765
10126,Jet Airways,Delhi,Cochin,2,No info,13014,9,6,2019,19,0,9,40,560
8628,Jet Airways,Banglore,Delhi,0,No info,7229,15,5,2019,11,20,8,20,180
7592,Air India,Kolkata,Banglore,2,No info,15107,9,5,2019,12,30,14,30,1320
2769,Multiple carriers,Delhi,Cochin,1,No info,10877,9,6,2019,19,0,6,40,740
3724,Jet Airways,Banglore,Delhi,0,No info,8016,6,6,2019,20,45,17,45,180
400,Jet Airways,Banglore,New Delhi,1,In-flight meal not included,11087,12,3,2019,10,45,18,55,950
3210,Jet Airways,Kolkata,Banglore,1,No info,14781,6,5,2019,22,35,16,30,365
8934,SpiceJet,Banglore,Delhi,0,No info,3971,1,4,2019,12,20,9,30,170
10180,Air India,Mumbai,Hyderabad,0,No info,3625,12,5,2019,20,45,19,30,75
9792,Jet Airways,Banglore,Delhi,0,No info,7229,9,5,2019,11,20,8,20,180
7046,IndiGo,Kolkata,Banglore,1,No info,6303,24,3,2019,13,0,8,15,285
9099,Jet Airways,Mumbai,Hyderabad,0,No info,5678,27,5,2019,4,20,2,55,85
59,Vistara,Mumbai,Hyderabad,1,No info,12395,6,3,2019,16,45,15,40,1505
9292,Air Asia,Kolkata,Banglore,0,No info,4409,1,5,2019,1,20,22,50,150
9125,Jet Airways,Banglore,New Delhi,1,In-flight meal not included,10405,15,3,2019,8,15,8,0,1455
3482,Air Asia,Delhi,Cochin,1,No info,11410,6,6,2019,7,10,16,45,865
5838,Multiple carriers,Delhi,Cochin,1,No info,15078,6,3,2019,15,30,8,0,450
1328,IndiGo,Mumbai,Hyderabad,0,No info,4049,3,6,2019,10,40,9,10,90
2995,SpiceJet,Kolkata,Banglore,0,No check-in baggage included,3815,27,3,2019,9,35,6,55,160
2452,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,12,6,2019,4,25,20,55,450
4975,IndiGo,Kolkata,Banglore,0,No info,4174,6,4,2019,18,5,15,30,155
10136,Air Asia,Delhi,Cochin,1,No info,8327,9,3,2019,7,10,16,45,865
1550,IndiGo,Banglore,Delhi,0,No info,3943,24,6,2019,8,50,6,5,165
1009,SpiceJet,Delhi,Cochin,1,No info,4812,27,6,2019,13,15,8,45,270
1612,Air India,Delhi,Cochin,1,No info,7480,24,5,2019,9,25,9,45,1420
3244,Jet Airways,Delhi,Cochin,1,No info,14714,12,6,2019,4,25,21,50,395
9919,SpiceJet,Chennai,Kolkata,0,No check-in baggage included,3859,3,5,2019,12,0,9,45,135
648,IndiGo,Mumbai,Hyderabad,0,No info,4049,21,6,2019,7,55,6,25,90
879,Jet Airways,Kolkata,Banglore,1,No info,12692,6,6,2019,9,45,9,35,1450
8072,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,6,6,2019,19,0,9,0,600
4770,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,11134,24,3,2019,12,0,19,45,975
4228,Air India,Kolkata,Banglore,2,No info,12723,9,6,2019,8,55,5,50,1625
550,IndiGo,Delhi,Cochin,1,No info,5073,24,4,2019,12,10,7,35,275
7579,IndiGo,Banglore,New Delhi,0,No info,7303,24,3,2019,19,45,16,55,170
2771,IndiGo,Delhi,Cochin,1,No info,6558,21,3,2019,16,10,7,35,515
5727,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,6,6,2019,4,25,7,5,1280
10185,Air India,Kolkata,Banglore,2,No info,14424,15,5,2019,5,25,10,0,1165
211,SpiceJet,Delhi,Cochin,1,No info,5583,6,6,2019,11,20,6,5,315
5106,Vistara,Banglore,New Delhi,0,No info,21730,1,3,2019,0,5,21,10,175
3651,Jet Airways,Delhi,Cochin,1,In-flight meal not included,12373,9,5,2019,12,35,11,30,1505
8408,IndiGo,Delhi,Cochin,1,No info,6818,3,6,2019,12,10,5,5,425
5174,Jet Airways,Delhi,Cochin,1,In-flight meal not included,5177,3,4,2019,4,25,2,15,1570
3562,Air India,Kolkata,Banglore,1,No info,8030,1,4,2019,21,5,9,50,675
1438,Air India,Delhi,Cochin,2,No info,14483,9,3,2019,19,15,5,55,2240
5013,Jet Airways,Delhi,Cochin,1,In-flight meal not included,14053,9,3,2019,18,50,16,0,1610
696,IndiGo,Chennai,Kolkata,0,No info,3858,18,3,2019,15,35,13,20,135
7135,Jet Airways,Banglore,Delhi,0,In-flight meal not included,4544,3,5,2019,18,10,15,15,175
9632,Multiple carriers,Delhi,Cochin,1,No info,13259,3,6,2019,12,35,6,0,395
1314,Air Asia,Kolkata,Banglore,1,No info,5192,21,5,2019,23,30,7,35,955
5653,Jet Airways,Delhi,Cochin,1,In-flight meal not included,12373,18,5,2019,12,35,21,50,885
9311,IndiGo,Kolkata,Banglore,1,No info,3809,6,5,2019,23,45,19,20,265
12,Air India,Chennai,Kolkata,0,No info,4667,24,6,2019,13,55,11,40,135
4972,Vistara,Banglore,Delhi,0,No info,5403,24,4,2019,14,20,11,30,170
7091,Jet Airways,Delhi,Cochin,2,In-flight meal not included,10368,24,6,2019,19,0,5,30,810
1346,IndiGo,Delhi,Cochin,1,No info,5883,12,6,2019,1,30,11,25,845
9055,Air India,Kolkata,Banglore,1,No info,10203,15,5,2019,20,25,20,30,1435
453,GoAir,Banglore,Delhi,0,No info,4937,18,4,2019,14,30,11,40,170
9271,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,6,5,2019,19,50,8,25,685
7467,IndiGo,Kolkata,Banglore,1,No info,9319,24,3,2019,11,20,5,35,345
2522,Multiple carriers,Delhi,Cochin,1,No info,15147,6,3,2019,1,35,19,0,395
9136,Air India,Kolkata,Banglore,2,No info,11668,18,5,2019,1,20,9,25,955
9463,Air Asia,Kolkata,Banglore,0,No info,5645,21,4,2019,1,20,22,50,150
37,Air India,Kolkata,Banglore,0,No info,6245,18,5,2019,16,45,14,15,150
1043,Jet Airways,Delhi,Cochin,2,No info,14237,1,6,2019,12,35,18,25,1090
4957,SpiceJet,Kolkata,Banglore,0,No info,3873,18,5,2019,0,40,22,20,140
940,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,9,6,2019,19,0,15,0,1680
8441,Multiple carriers,Delhi,Cochin,1,No info,13587,27,6,2019,21,0,10,0,660
3946,SpiceJet,Kolkata,Banglore,0,No info,6251,3,3,2019,19,45,17,15,150
3706,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,18,5,2019,16,20,20,0,1220
538,Jet Airways,Banglore,Delhi,0,No info,7229,6,4,2019,18,10,15,15,175
4031,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,9,5,2019,23,35,14,5,570
8348,Air India,Mumbai,Hyderabad,0,No info,3100,21,6,2019,16,25,15,0,85
1400,Jet Airways,Banglore,Delhi,0,In-flight meal not included,3702,6,5,2019,18,10,15,15,175
4483,IndiGo,Chennai,Kolkata,0,No info,7295,6,3,2019,17,5,14,40,145
6119,Jet Airways,Delhi,Cochin,2,No info,17282,9,3,2019,4,25,10,45,1060
8018,IndiGo,Banglore,Delhi,0,No info,4823,27,5,2019,11,20,8,30,170
9066,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,6,6,2019,19,0,15,0,1680
6113,Multiple carriers,Delhi,Cochin,1,No info,13727,9,5,2019,21,0,13,0,480
4704,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,9,6,2019,12,35,14,0,1355
8242,Jet Airways,Delhi,Cochin,1,No info,12242,27,3,2019,4,25,20,50,455
4110,IndiGo,Delhi,Cochin,1,No info,6442,15,4,2019,16,10,8,35,455
10435,Jet Airways,Kolkata,Banglore,1,No info,14388,1,5,2019,12,0,14,5,1315
4147,IndiGo,Mumbai,Hyderabad,0,No info,2227,1,4,2019,22,50,21,20,90
8880,SpiceJet,Banglore,Delhi,0,No check-in baggage included,3573,27,5,2019,12,20,9,30,170
7338,Air India,Delhi,Cochin,1,No info,8372,9,6,2019,19,15,20,0,1395
6027,SpiceJet,Kolkata,Banglore,0,No check-in baggage included,3841,21,5,2019,19,40,17,10,150
10309,Air India,Kolkata,Banglore,2,No info,9416,24,5,2019,7,55,12,0,1195
9475,Jet Airways,Mumbai,Hyderabad,0,No info,5678,24,3,2019,4,25,2,55,90
5830,SpiceJet,Banglore,Delhi,0,No info,3971,3,4,2019,8,35,5,55,160
8124,Jet Airways,Banglore,New Delhi,1,In-flight meal not included,9134,15,3,2019,16,10,5,45,625
1739,IndiGo,Delhi,Cochin,1,No info,6628,1,6,2019,1,30,18,35,415
3274,Jet Airways,Banglore,New Delhi,1,In-flight meal not included,8147,24,3,2019,9,0,11,40,1280
5064,Multiple carriers,Delhi,Cochin,1,No info,10197,9,5,2019,19,0,9,0,600
4053,SpiceJet,Mumbai,Hyderabad,0,No info,2017,12,5,2019,0,15,22,45,90
4950,Jet Airways,Delhi,Cochin,1,In-flight meal not included,6540,21,3,2019,18,50,8,0,650
6194,Jet Airways,Delhi,Cochin,2,In-flight meal not included,10368,24,6,2019,12,35,9,40,1615
7182,Air India,Delhi,Cochin,2,No info,10651,18,5,2019,19,15,19,45,1410
3181,IndiGo,Delhi,Cochin,1,No info,6493,9,6,2019,22,15,17,5,310
1563,Air India,Delhi,Cochin,1,No info,7480,27,6,2019,9,25,20,40,765
10379,IndiGo,Delhi,Cochin,1,No info,6628,3,6,2019,1,30,16,0,570
4415,IndiGo,Delhi,Cochin,2,No info,8049,3,3,2019,21,20,8,35,765
7087,Jet Airways,Kolkata,Banglore,1,No info,13339,24,3,2019,23,25,6,30,1015
8376,Air India,Banglore,New Delhi,2,No info,7664,15,3,2019,23,45,5,50,1075
2737,Multiple carriers,Delhi,Cochin,1,No info,10197,21,5,2019,19,0,10,0,540
8313,Air India,Delhi,Cochin,0,No info,5201,15,6,2019,8,0,5,10,170
9365,Multiple carriers,Delhi,Cochin,1,No info,9140,24,5,2019,1,30,17,45,465
9706,Air India,Delhi,Cochin,2,No info,10231,3,6,2019,19,15,22,0,1275
4607,Jet Airways,Mumbai,Hyderabad,0,No info,8040,12,6,2019,8,30,7,5,85
2517,Multiple carriers,Delhi,Cochin,2,No info,18485,9,6,2019,1,30,17,50,460
9527,Air India,Delhi,Cochin,2,No info,13748,3,3,2019,19,15,5,55,2240
8141,Jet Airways,Delhi,Cochin,2,No info,10929,21,3,2019,4,25,19,10,1995
2692,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,13994,9,6,2019,18,0,9,35,505
9084,Air India,Kolkata,Banglore,2,No info,11458,6,6,2019,1,20,9,25,955
8812,SpiceJet,Mumbai,Hyderabad,0,No info,2753,15,6,2019,7,15,5,45,90
9646,SpiceJet,Kolkata,Banglore,0,No info,3873,27,5,2019,0,40,22,20,140
2213,Jet Airways,Banglore,Delhi,0,In-flight meal not included,3702,9,5,2019,22,0,18,55,185
833,IndiGo,Kolkata,Banglore,0,No info,4148,9,3,2019,8,20,5,30,170
8752,Jet Airways,Mumbai,Hyderabad,0,No info,8040,21,5,2019,11,50,10,20,90
8370,IndiGo,Banglore,Delhi,0,No info,4823,27,4,2019,21,20,18,25,175
6473,Multiple carriers,Delhi,Cochin,1,No info,15603,6,3,2019,21,0,13,0,480
2855,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10539,9,6,2019,21,5,20,25,1480
7122,Jet Airways,Delhi,Cochin,2,No info,15129,27,5,2019,4,25,19,30,535
3776,Multiple carriers,Delhi,Cochin,1,In-flight meal not included,5797,24,6,2019,1,30,15,15,615
9786,SpiceJet,Banglore,Delhi,0,No check-in baggage included,3573,15,5,2019,0,5,21,10,175
5504,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10577,9,6,2019,12,35,19,45,1010
4786,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9314,15,5,2019,14,25,17,0,1285
5481,Vistara,Kolkata,Banglore,1,No info,14360,24,3,2019,22,55,17,0,355
3316,Jet Airways,Delhi,Cochin,1,In-flight meal not included,12373,18,5,2019,12,35,22,50,825
9465,Multiple carriers,Delhi,Cochin,1,No info,13587,9,6,2019,1,30,16,0,570
9314,IndiGo,Banglore,Delhi,0,No info,3943,6,5,2019,13,0,10,10,170
7911,IndiGo,Kolkata,Banglore,0,No info,4804,6,6,2019,7,15,4,40,155
5944,SpiceJet,Banglore,New Delhi,0,No check-in baggage included,6205,15,3,2019,12,30,9,35,175
1197,Air Asia,Delhi,Cochin,1,No info,8627,6,3,2019,7,10,16,45,865
6258,Jet Airways,Kolkata,Banglore,1,No info,14781,15,5,2019,4,40,16,30,730
9113,Jet Airways,Delhi,Cochin,2,In-flight meal not included,10368,15,6,2019,12,35,19,30,1025
7836,Air India,Delhi,Cochin,2,No info,13381,24,6,2019,7,40,6,50,1490
1429,Jet Airways,Kolkata,Banglore,1,No info,14571,6,6,2019,10,5,18,55,910
6725,SpiceJet,Chennai,Kolkata,0,No check-in baggage included,3543,27,6,2019,10,35,8,20,135
7092,Multiple carriers,Delhi,Cochin,1,No info,13377,27,5,2019,1,30,16,0,570
1153,Jet Airways,Delhi,Cochin,1,In-flight meal not included,12373,18,5,2019,19,0,8,0,660
3298,Air India,Kolkata,Banglore,2,No info,12723,18,5,2019,12,30,5,50,1840
8122,IndiGo,Delhi,Cochin,1,No info,6937,27,4,2019,21,0,16,0,300
9006,Jet Airways,Delhi,Cochin,2,No info,14237,3,6,2019,12,35,18,25,1090
6428,GoAir,Banglore,Delhi,0,No info,3419,24,6,2019,23,40,20,55,165
4091,Jet Airways,Delhi,Cochin,2,In-flight meal not included,13029,27,5,2019,4,25,9,40,1125
964,SpiceJet,Kolkata,Banglore,0,No check-in baggage included,3841,15,4,2019,9,30,6,55,155
6423,Jet Airways,Banglore,New Delhi,1,In-flight meal not included,7832,21,3,2019,21,20,8,0,800
8144,Jet Airways,Banglore,Delhi,0,In-flight meal not included,4030,27,5,2019,10,10,7,10,180
9818,Air India,Kolkata,Banglore,0,No info,4145,15,6,2019,23,20,20,45,155
3095,Multiple carriers,Delhi,Cochin,1,No info,8371,9,4,2019,19,15,8,45,630
1483,Air India,Banglore,Delhi,0,No info,6121,18,5,2019,16,10,13,20,170
3422,Jet Airways,Kolkata,Banglore,1,No info,14571,9,6,2019,20,45,8,25,740
5007,Air India,Delhi,Cochin,0,No info,5201,24,4,2019,21,10,18,5,185
5278,Air India,Kolkata,Banglore,1,No info,6528,6,5,2019,15,20,14,35,1485
5972,IndiGo,Kolkata,Banglore,0,No info,4804,12,5,2019,17,45,15,15,150
1426,IndiGo,Kolkata,Banglore,0,No info,4804,9,6,2019,0,5,21,25,160
5168,IndiGo,Mumbai,Hyderabad,0,No info,2227,18,3,2019,22,45,21,20,85
2178,Multiple carriers,Delhi,Cochin,1,No info,11999,21,3,2019,18,50,11,40,430
6196,Air India,Delhi,Cochin,0,No info,4729,6,4,2019,8,0,5,10,170
6159,Jet Airways,Delhi,Cochin,1,No info,12719,21,3,2019,4,25,2,15,1570
1057,Multiple carriers,Delhi,Cochin,1,No info,12327,27,3,2019,1,35,15,5,630
